06/09/2020 3:1:15,Joe,104,Condiments/Spices & Bake,Pre-consumer,Storage Failure,15
11/25/2021 12:41:32,Danielle,102,"Dairy, Eggs & Cheese",Pre-consumer,Storage Failure,116
09/28/2020 20:10:54,Steve,103,"Dairy, Eggs & Cheese",Pre-consumer,Expiration,238
09/14/2020 12:5:9,Joe,100,Breafast & Cereal,Pre-consumer,Improper Storage,119
08/04/2021 9:13:48,Bryan,103,Prepared Meal,Post-consumer,Customer Meal Disposal,235
06/08/2021 9:55:11,Danielle,100,"Dairy, Eggs & Cheese",Pre-consumer,Expiration,63
07/07/2020 20:18:56,Danielle,103,Breafast & Cereal,Pre-consumer,Improper Storage,153
01/30/2021 19:55:43,Joe,105,Produce: Fruits and Vegetables,Pre-consumer,Storage Failure,116
02/17/2020 22:8:37,Bryan,105,"Beer, Wine & Spirits",Pre-consumer,Expiration,89
10/26/2021 17:8:25,Danielle,105,Deli,Pre-consumer,Improper Storage,49
12/29/2021 13:33:18,Joe,101,Beverages,Pre-consumer,Contamination,246
10/19/2020 20:9:49,Joe,102,"Cookies, Snacks & Candy",Pre-consumer,Storage Failure,293
04/04/2021 13:56:5,Steve,103,"Beer, Wine & Spirits",Pre-consumer,Improper Storage,87
11/23/2021 12:34:2,Steve,105,Deli,Pre-consumer,Expiration,57
07/29/2021 13:55:54,Christy,103,Grains & Pasta,Pre-consumer,Expiration,121
09/24/2020 4:6:21,Emma,102,Canned Good & Soups,Pre-consumer,Expiration,42
09/30/2021 6:24:6,Bryan,101,"Beer, Wine & Spirits",Pre-consumer,Excess/over-order,108
01/13/2020 18:45:13,Bryan,100,"Beer, Wine & Spirits",Pre-consumer,Improper Storage,272
05/05/2021 14:2:15,Danielle,101,Breafast & Cereal,Pre-consumer,Expiration,172
12/15/2021 12:36:30,Joe,100,Beverages,Pre-consumer,Storage Failure,30
10/08/2021 9:13:34,Danielle,104,Grains & Pasta,Pre-consumer,Expiration,273
01/05/2020 10:24:57,Christy,100,"Beer, Wine & Spirits",Pre-consumer,Improper Storage,318
02/26/2021 6:57:6,Christy,103,Seafood,Pre-consumer,Expiration,116
12/30/2020 5:15:7,Steve,105,Beverages,Pre-consumer,Storage Failure,97
07/13/2020 9:42:12,Steve,102,"Cookies, Snacks & Candy",Pre-consumer,Expiration,73
02/16/2021 21:3:45,Bryan,100,Condiments/Spices & Bake,Pre-consumer,Contamination,40
01/25/2021 22:23:59,Christy,101,Produce: Fruits and Vegetables,Pre-consumer,Excess/over-order,314
01/22/2020 9:38:22,Bryan,105,Breafast & Cereal,Pre-consumer,Expiration,177
08/30/2021 3:40:38,Bryan,100,Prepared Meal,Post-consumer,Customer Meal Disposal,81
02/15/2020 13:24:20,Joe,100,Bread & Bakery,Pre-consumer,Storage Failure,140
12/29/2020 17:31:3,Emma,104,Meat,Pre-consumer,Storage Failure,226
03/02/2020 19:35:21,Emma,101,Bread & Bakery,Pre-consumer,Expiration,49
05/15/2021 18:9:31,Emma,105,Bread & Bakery,Pre-consumer,Contamination,312
12/30/2021 17:51:28,Christy,102,Beverages,Pre-consumer,Expiration,17
12/31/2021 17:1:34,Emma,104,Meat,Pre-consumer,Improper Storage,176
10/07/2021 17:22:58,Bryan,100,Deli,Pre-consumer,Improper Storage,290
01/10/2020 10:37:43,Emma,104,Prepared Meal,Post-consumer,Customer Meal Disposal,138
11/30/2020 22:2:37,Steve,104,Seafood,Pre-consumer,Expiration,98
12/02/2021 16:54:51,Bryan,101,Produce: Fruits and Vegetables,Pre-consumer,Excess/over-order,281
06/08/2021 4:33:10,Danielle,105,Condiments/Spices & Bake,Pre-consumer,Storage Failure,132
12/07/2021 1:32:25,Emma,104,Deli,Pre-consumer,Improper Storage,210
05/31/2020 7:48:8,Steve,104,Prepared Meal,Post-consumer,Customer Meal Disposal,290
10/08/2021 9:54:11,Joe,100,"Dairy, Eggs & Cheese",Pre-consumer,Expiration,171
06/11/2021 22:44:47,Christy,100,Breafast & Cereal,Pre-consumer,Expiration,312
09/15/2020 16:35:47,Christy,103,Beverages,Pre-consumer,Storage Failure,258
03/11/2020 19:59:56,Emma,101,Prepared Meal,Post-consumer,Customer Meal Disposal,222
07/29/2021 1:33:38,Danielle,101,Bread & Bakery,Pre-consumer,Expiration,258
04/11/2020 19:47:28,Christy,102,Condiments/Spices & Bake,Pre-consumer,Contamination,126
04/03/2020 13:53:19,Steve,103,Beverages,Pre-consumer,Improper Storage,137
09/04/2020 22:44:37,Emma,100,Frozen Foods,Pre-consumer,Storage Failure,283
04/10/2021 13:23:57,Christy,104,Beverages,Pre-consumer,Contamination,15
12/10/2021 6:3:34,Joe,101,Meat,Pre-consumer,Expiration,203
04/26/2020 8:30:41,Emma,105,Bread & Bakery,Pre-consumer,Improper Storage,201
02/11/2021 8:2:42,Joe,103,Condiments/Spices & Bake,Pre-consumer,Contamination,41
03/29/2021 23:30:49,Danielle,104,Breafast & Cereal,Pre-consumer,Improper Storage,223
07/16/2021 15:15:57,Christy,105,Canned Good & Soups,Pre-consumer,Excess/over-order,294
